User_ID,drugName,condition,review,rating,date,usefulCount,ratings_simplified
164952,Phentermine / topiramate,Weight Loss,"""I have been on the Qysmia for 3 weeks now.  I wanted  to wait a few weeks  to give a review. I have a very slow metabolism so I  did not lose as much as some in the first two weeks  upon taking.  My weight started at 198.  I am down to 193. So I  have lost  5 lbs in 3 weeks.  But that  is with  out cardio.  My  appetite  is suppressed.  Dry mouth.  So drink a lot of water. Tingling almost numbness in my feet at times but it goes away shortly after. The  medication  if not covered  or with the free trial  is expensive.  So be prepared.  I guess it  is cheaper  than weight loss surgery.  But it&#039;s no magic pill neither.  Like any other pill  you must eat right and exercise. To lose the weight.  Well that&#039;s  my take anyway.""",8.0,"December 25, 2015",38,3
145900,Qsymia,Weight Loss,"""My Dr agreed to over see putting me on Qsymia because he watched as I devotedly pursued everything else to no avail. I have now been on this for 1 week and have dropped 3 lbs. I have 60 to go and have all the patience in the world as long as I see progress. I do get tired midday laydown, ten minutes get up, I do get constipated but take those probiotic gummies that seem to help. I crave sweet but nothing really sounds good. I plan to start walking just a mile daily.""",9.0,"February 24, 2013",46,4
52117,Adipex-P,Weight Loss,"""I just started Adipex-P 37.5mg on March 6th, 2011. I am in the military and am a single mom of two. I work and go to school full time so its hard for me to work out everyday even though I&#039;m supposed to. I have never really had trouble losing weight until I started working night shift in May. I would only eat one meal a day but since it was late I gained the weight. I am 5&#039;5 and weighed 184lbs before I was put on this pill. The first day I took it was right after the doctors appointment. By 5pm and I had only eaten one piece of ham. I bought a salad after I took the pill and tried to eat it when I got home at 6 and couldn&#039;t because I had no urge to want to eat. It&#039;s Wednesday now and I&#039;ve lost 4lbs already.""",8.0,"March 10, 2011",7,3
145785,Qsymia,Weight Loss,"""Began taking Qsymia 3.75 in June 2013. Its one year later I have lost 80 pounds. At the low dose I experience few side effects while still suppressing my urge to overeat. I&#039;ve used My Fitness Pal to track my 1200-1500 calories a day menus. No sugar cravings any more. For the last few weeks I have diminished my dosage to 3 times a week as I&#039;ve approached my maintenance weight goal. The weight loss has been easy. Now to figure out how Q can help me maintain the loss.""",10.0,"May 26, 2014",61,4
145840,Qsymia,Weight Loss,"""Made me jittery and could not sleep. Lost weight but side effects were very bad. Doctor switched me to Belviq. See what happens. No insurance coverage yet. Still fighting for it with them.""",1.0,"August 21, 2013",59,1
145495,Qsymia,Weight Loss,"""I am a 28 year old female and my highest weight was 217 lb I am very active and work out 4 times a week at least but suffer from hashimotos thyroid along with Ibs-c. I have been to a handful of Specialists over the course of 10 years and used to have to run 2 hours a day just to keep my weight stable. My doctor recently added T3 to my regular levothyroxin everyday and I noticed more energy but my weight still clung on. She started me on a two-week trial of Qsymia (while trying to get approval from my insurance company) the first few days I felt foggy and very thirsty. I am now on day 11 and dropped 7 lbs still working out the same I never had much of an appetite and don&#039;t eat many fatty foods which is why we looked into this medication""",10.0,"July 1, 2017",21,4
39159,Contrave,Weight Loss,"""I have been on Contrave for 3 weeks. I am 5&quot;5, at 155 pounds. I think I have only lost 2 pounds. I work out with a personal trainer 3x a week and usually take long walks for other days not with trainer. My doctor recommended this prescription for me because I sit at a desk 10 hours a day and am typically very hungry and unable to stop my snacking. So far, I still crave foods. Not sure when the &#039;appetite supressant&#039; part will kick in, because it still has not done that. I have not noticed much differences so I will give it a little more time (until I finish the entire bottle supply) before asking DR. to change me to something else.""",4.0,"May 4, 2017",7,2
128860,Phentermine,Weight Loss,"""I was signed up to have the gastric sleeve procedure done but cancelled a few days prior wanting to try again to lose the weight on my own. I was 245 pounds March 28th and am 5&#039;5. I started Phentermine shortly after that. I am currently 209lbs and it is July 22nd. Very happy with the results. Glad I didn&#039;t have the operation even if I would be skinner now the risks were just too scary for me to go through with it. I would love to get down to 160lbs! I am going to keep chugging along.""",10.0,"July 22, 2014",57,4
164693,Phentermine / topiramate,Weight Loss,"""Let me start by saying I am 59 years old. Until now, I have not had a problem losing when I needed to.  I am not big on diet pills so I was a little hesitant at first.  The 2 week free trial helped me decide to give it a try. The first 2 weeks I lost 6 pounds.  I lost a total of 45 pounds on this medicine!! and kept it off for a year!!  I have recommended it and so far have had several friends go on it an loose weight with equal success.  You have to cut back on food intake and exercise.  I highly recommend it!!""",10.0,"August 16, 2017",104,4
4685,Belviq,Weight Loss,"""I started 5/14/15 and after schpeel from my doc about 15% experience headaches I prepared myself for a huge headache by noon.  I took at 8am, no headache by noon or after..I was really tired and body aches but could be from the cold I had as well.  Able to function all day though.  My weight Thursday was 226.7 as of Saturday am my weight is 224.5.  I am learning my hunger is mental and not physical. My mental or craving are still present but not actually feeling hungry so I can stop at a few bites because nothing really tastes as good as it does in my &quot;hungry mind&quot;.  So I&#039;m definitely becoming aware of my triggers.  Can&#039;t wait to see my results after 1mo.""",8.0,"May 17, 2015",38,3
