local_id,county_id,county_dist_id,school_id,record_type,school_name,dist_name,county_name,enrollment_12,test_takers,avg_read,avg_eng,avg_math,avg_sci,abv_avg_num,abv_avg_pct,year
1611190000000.0,1.0,161119.0,,D,,Alameda Unified,Alameda,919.0,155.0,27,26,26,25,134,86.45,2019
1611270000000.0,1.0,161127.0,,D,,Albany City Unified,Alameda,307.0,58.0,28,27,27,26,51,87.93,2019
1611430000000.0,1.0,161143.0,,D,,Berkeley Unified,Alameda,820.0,227.0,26,25,25,24,166,73.13,2019
1611500000000.0,1.0,161150.0,,D,,Castro Valley Unified,Alameda,737.0,106.0,26,25,25,25,82,77.36,2019
1611760000000.0,1.0,161176.0,,D,,Fremont Unified,Alameda,2537.0,511.0,29,30,30,29,473,92.56,2019
1611920000000.0,1.0,161192.0,,D,,Hayward Unified,Alameda,1601.0,256.0,19,19,19,19,92,35.94,2019
1612000000000.0,1.0,161200.0,,D,,Livermore Valley Joint Unified,Alameda,1128.0,249.0,26,25,25,25,201,80.72,2019
1612340000000.0,1.0,161234.0,,D,,Newark Unified,Alameda,460.0,31.0,22,22,22,22,22,70.97,2019
1612420000000.0,1.0,161242.0,,D,,New Haven Unified,Alameda,1043.0,132.0,24,23,24,24,90,68.18,2019
1612590000000.0,1.0,161259.0,,D,,Oakland Unified,Alameda,3663.0,809.0,19,18,19,19,279,34.49,2019
1612750000000.0,1.0,161275.0,,D,,Piedmont City Unified,Alameda,231.0,116.0,30,31,29,29,110,94.83,2019
1612910000000.0,1.0,161291.0,,D,,San Leandro Unified,Alameda,754.0,78.0,22,21,21,22,44,56.41,2019
1613090000000.0,1.0,161309.0,,D,,San Lorenzo Unified,Alameda,1099.0,189.0,21,21,21,21,92,48.68,2019
1750930000000.0,1.0,175093.0,,D,,Dublin Unified,Alameda,695.0,216.0,28,28,28,27,187,86.57,2019
1751010000000.0,1.0,175101.0,,D,,Pleasanton Unified,Alameda,1251.0,476.0,29,29,28,28,434,91.18,2019
3739810000000.0,3.0,373981.0,,D,,Amador County Unified,Amador,290.0,37.0,24,23,23,22,29,78.38,2019
4614240000000.0,4.0,461424.0,,D,,Chico Unified,Butte,1175.0,137.0,24,23,24,24,99,72.26,2019
4615150000000.0,4.0,461515.0,,D,,Oroville Union High,Butte,521.0,33.0,21,19,20,20,13,39.39,2019
4615310000000.0,4.0,461531.0,,D,,Paradise Unified,Butte,328.0,23.0,23,21,24,23,17,73.91,2019
4755070000000.0,4.0,475507.0,,D,,Gridley Unified,Butte,175.0,15.0,22,22,24,22,9,60.0,2019
5615640000000.0,5.0,561564.0,,D,,Calaveras Unified,Calaveras,216.0,19.0,25,22,24,23,16,84.21,2019
6616140000000.0,6.0,661614.0,,D,,Pierce Joint Unified,Colusa,107.0,16.0,19,17,19,19,5,31.25,2019
7100740000000.0,7.0,710074.0,,D,,Contra Costa County Office of Education,Contra Costa,771.0,153.0,24,23,23,23,107,69.93,2019
7616300000000.0,7.0,761630.0,,D,,Acalanes Union High,Contra Costa,1408.0,539.0,29,28,27,27,487,90.35,2019
7616480000000.0,7.0,761648.0,,D,,Antioch Unified,Contra Costa,1543.0,117.0,22,20,20,20,49,41.88,2019
7617210000000.0,7.0,761721.0,,D,,Liberty Union High,Contra Costa,2138.0,284.0,24,23,22,23,183,64.44,2019
7617390000000.0,7.0,761739.0,,D,,Martinez Unified,Contra Costa,349.0,42.0,25,23,24,23,31,73.81,2019
7617540000000.0,7.0,761754.0,,D,,Mt. Diablo Unified,Contra Costa,2145.0,323.0,25,25,25,24,241,74.61,2019
7617880000000.0,7.0,761788.0,,D,,Pittsburg Unified,Contra Costa,840.0,155.0,19,19,19,19,45,29.03,2019
7617960000000.0,7.0,761796.0,,D,,West Contra Costa Unified,Contra Costa,2520.0,475.0,19,18,18,18,127,26.74,2019
7618040000000.0,7.0,761804.0,,D,,San Ramon Valley Unified,Contra Costa,2652.0,1077.0,28,28,27,27,969,89.97,2019
9618530000000.0,9.0,961853.0,,D,,El Dorado Union High,El Dorado,1609.0,403.0,25,25,25,24,322,79.9,2019
9619030000000.0,9.0,961903.0,,D,,Lake Tahoe Unified,El Dorado,275.0,54.0,23,22,22,22,32,59.26,2019
10621170000000.0,10.0,1062117.0,,D,,Clovis Unified,Fresno,3305.0,479.0,25,24,24,24,358,74.74,2019
10621660000000.0,10.0,1062166.0,,D,,Fresno Unified,Fresno,4593.0,574.0,20,19,19,19,202,35.19,2019
10622570000000.0,10.0,1062257.0,,D,,Kingsburg Joint Union High,Fresno,276.0,41.0,23,21,22,21,26,63.41,2019
10622650000000.0,10.0,1062265.0,,D,,Kings Canyon Joint Unified,Fresno,619.0,169.0,19,17,18,18,34,20.12,2019
10623640000000.0,10.0,1062364.0,,D,,Parlier Unified,Fresno,232.0,33.0,18,16,18,18,8,24.24,2019
10624140000000.0,10.0,1062414.0,,D,,Sanger Unified,Fresno,850.0,62.0,21,19,20,21,27,43.55,2019
10738090000000.0,10.0,1073809.0,,D,,Firebaugh-Las Deltas Unified,Fresno,170.0,31.0,16,15,16,17,3,9.68,2019
10739650000000.0,10.0,1073965.0,,D,,Central Unified,Fresno,1096.0,37.0,22,21,20,22,20,54.05,2019
10739990000000.0,10.0,1073999.0,,D,,Kerman Unified,Fresno,416.0,38.0,22,21,21,23,18,47.37,2019
10751270000000.0,10.0,1075127.0,,D,,Mendota Unified,Fresno,234.0,82.0,16,15,17,16,7,8.54,2019
10752340000000.0,10.0,1075234.0,,D,,Golden Plains Unified,Fresno,125.0,19.0,15,14,15,15,0,0.0,2019
10754080000000.0,10.0,1075408.0,,D,,Riverdale Joint Unified,Fresno,127.0,50.0,16,15,18,18,7,14.0,2019
10767780000000.0,10.0,1076778.0,,D,,Washington Unified,Fresno,339.0,121.0,16,15,16,16,10,8.26,2019
11754810000000.0,11.0,1175481.0,,D,,Orland Joint Unified,Glenn,177.0,37.0,23,21,19,21,17,45.95,2019
11765620000000.0,11.0,1176562.0,,D,,Hamilton Unified,Glenn,90.0,30.0,18,18,18,19,7,23.33,2019
12626870000000.0,12.0,1262687.0,,D,,Northern Humboldt Union High,Humboldt,424.0,49.0,27,26,25,26,43,87.76,2019
12628100000000.0,12.0,1262810.0,,D,,Fortuna Union High,Humboldt,274.0,24.0,24,22,23,22,13,54.17,2019
12755150000000.0,12.0,1275515.0,,D,,Eureka City Schools,Humboldt,347.0,23.0,24,22,23,22,16,69.57,2019
13630810000000.0,13.0,1363081.0,,D,,Brawley Union High,Imperial,471.0,115.0,19,18,18,18,34,29.57,2019
13630990000000.0,13.0,1363099.0,,D,,Calexico Unified,Imperial,879.0,90.0,20,19,21,20,35,38.89,2019
13631070000000.0,13.0,1363107.0,,D,,Calipatria Unified,Imperial,91.0,19.0,20,21,19,20,9,47.37,2019
13631150000000.0,13.0,1363115.0,,D,,Central Union High,Imperial,958.0,172.0,19,18,19,19,58,33.72,2019
13631490000000.0,13.0,1363149.0,,D,,Holtville Unified,Imperial,151.0,29.0,20,18,20,19,9,31.03,2019
13631640000000.0,13.0,1363164.0,,D,,Imperial Unified,Imperial,279.0,65.0,23,22,21,22,35,53.85,2019
14766870000000.0,14.0,1476687.0,,D,,Bishop Unified,Inyo,158.0,27.0,23,22,22,22,19,70.37,2019
15101570000000.0,15.0,1510157.0,,D,,Kern County Office of Education,Kern,582.0,126.0,18,18,18,18,35,27.78,2019
15634120000000.0,15.0,1563412.0,,D,,Delano Joint Union High,Kern,1004.0,194.0,19,18,20,19,69,35.57,2019
15635290000000.0,15.0,1563529.0,,D,,Kern High,Kern,10175.0,741.0,22,20,21,21,366,49.39,2019
15636770000000.0,15.0,1563677.0,,D,,Mojave Unified,Kern,143.0,31.0,17,14,16,16,3,9.68,2019
15638180000000.0,15.0,1563818.0,,D,,Taft Union High,Kern,238.0,35.0,21,18,19,19,11,31.43,2019
15638590000000.0,15.0,1563859.0,,D,,Wasco Union High,Kern,453.0,71.0,19,18,20,20,24,33.8,2019
15737420000000.0,15.0,1573742.0,,D,,Sierra Sands Unified,Kern,353.0,15.0,27,26,27,26,14,93.33,2019
15739080000000.0,15.0,1573908.0,,D,,McFarland Unified,Kern,209.0,16.0,18,16,19,17,4,25.0,2019
16638910000000.0,16.0,1663891.0,,D,,Corcoran Joint Unified,Kings,187.0,40.0,18,17,18,19,10,25.0,2019
16639250000000.0,16.0,1663925.0,,D,,Hanford Joint Union High,Kings,897.0,45.0,22,21,20,21,25,55.56,2019
16639820000000.0,16.0,1663982.0,,D,,Lemoore Union High,Kings,527.0,84.0,21,19,19,19,29,34.52,2019
16739320000000.0,16.0,1673932.0,,D,,Reef-Sunset Unified,Kings,165.0,112.0,16,14,15,16,4,3.57,2019
17640140000000.0,17.0,1764014.0,,D,,Kelseyville Unified,Lake,129.0,18.0,19,19,19,18,7,38.89,2019
17640220000000.0,17.0,1764022.0,,D,,Konocti Unified,Lake,211.0,16.0,22,20,18,20,6,37.5,2019
17769760000000.0,17.0,1776976.0,,D,,Upper Lake Unified,Lake,83.0,18.0,18,16,17,17,4,22.22,2019
18641390000000.0,18.0,1864139.0,,D,,Lassen Union High,Lassen,190.0,27.0,22,21,21,21,15,55.56,2019
19101990000000.0,19.0,1910199.0,,D,,Los Angeles County Office of Education,Los Angeles,1236.0,245.0,20,19,19,19,90,36.73,2019
19642120000000.0,19.0,1964212.0,,D,,ABC Unified,Los Angeles,1663.0,216.0,26,26,26,25,172,79.63,2019
19642460000000.0,19.0,1964246.0,,D,,Antelope Valley Union High,Los Angeles,5657.0,339.0,21,20,19,20,150,44.25,2019
19642610000000.0,19.0,1964261.0,,D,,Arcadia Unified,Los Angeles,857.0,192.0,28,29,28,27,175,91.15,2019
19642790000000.0,19.0,1964279.0,,D,,Azusa Unified,Los Angeles,668.0,49.0,19,19,19,20,17,34.69,2019
19642870000000.0,19.0,1964287.0,,D,,Baldwin Park Unified,Los Angeles,1702.0,222.0,20,19,20,19,88,39.64,2019
19642950000000.0,19.0,1964295.0,,D,,Bassett Unified,Los Angeles,285.0,21.0,23,22,22,22,12,57.14,2019
19643030000000.0,19.0,1964303.0,,D,,Bellflower Unified,Los Angeles,953.0,31.0,25,24,22,23,23,74.19,2019
19643110000000.0,19.0,1964311.0,,D,,Beverly Hills Unified,Los Angeles,424.0,91.0,28,29,27,26,78,85.71,2019
19643290000000.0,19.0,1964329.0,,D,,Bonita Unified,Los Angeles,865.0,157.0,23,22,22,22,97,61.78,2019
19643370000000.0,19.0,1964337.0,,D,,Burbank Unified,Los Angeles,1331.0,176.0,26,25,25,24,140,79.55,2019
19643520000000.0,19.0,1964352.0,,D,,Centinela Valley Union High,Los Angeles,1875.0,186.0,18,17,17,18,29,15.59,2019
19643780000000.0,19.0,1964378.0,,D,,Charter Oak Unified,Los Angeles,404.0,38.0,22,21,22,22,25,65.79,2019
19643940000000.0,19.0,1964394.0,,D,,Claremont Unified,Los Angeles,616.0,139.0,25,24,24,24,103,74.1,2019
19644360000000.0,19.0,1964436.0,,D,,Covina-Valley Unified,Los Angeles,1066.0,72.0,21,20,20,20,29,40.28,2019
19644440000000.0,19.0,1964444.0,,D,,Culver City Unified,Los Angeles,556.0,148.0,24,24,22,23,95,64.19,2019
19644510000000.0,19.0,1964451.0,,D,,Downey Unified,Los Angeles,2147.0,135.0,23,22,23,22,91,67.41,2019
19644690000000.0,19.0,1964469.0,,D,,Duarte Unified,Los Angeles,405.0,59.0,23,23,21,21,31,52.54,2019
19645190000000.0,19.0,1964519.0,,D,,El Monte Union High,Los Angeles,2308.0,302.0,21,20,21,20,141,46.69,2019
19645270000000.0,19.0,1964527.0,,D,,El Rancho Unified,Los Angeles,731.0,218.0,19,18,19,19,62,28.44,2019
19645350000000.0,19.0,1964535.0,,D,,El Segundo Unified,Los Angeles,319.0,109.0,25,25,24,24,78,71.56,2019
19645680000000.0,19.0,1964568.0,,D,,Glendale Unified,Los Angeles,1978.0,221.0,26,26,26,25,185,83.71,2019
19645760000000.0,19.0,1964576.0,,D,,Glendora Unified,Los Angeles,639.0,79.0,25,23,24,23,66,83.54,2019
19645920000000.0,19.0,1964592.0,,D,,Hawthorne,Los Angeles,112.0,112.0,20,20,21,19,49,43.75,2019
19646340000000.0,19.0,1964634.0,,D,,Inglewood Unified,Los Angeles,695.0,227.0,17,16,17,17,37,16.3,2019
19646590000000.0,19.0,1964659.0,,D,,La Canada Unified,Los Angeles,347.0,138.0,29,29,29,28,130,94.2,2019
19646830000000.0,19.0,1964683.0,,D,,Las Virgenes Unified,Los Angeles,986.0,322.0,27,27,25,25,269,83.54,2019
19646910000000.0,19.0,1964691.0,,D,,Lawndale Elementary,Los Angeles,126.0,96.0,17,17,18,17,19,19.79,2019
19647090000000.0,19.0,1964709.0,,D,,Lennox,Los Angeles,296.0,232.0,17,16,17,17,40,17.24,2019
19647250000000.0,19.0,1964725.0,,D,,Long Beach Unified,Los Angeles,5929.0,582.0,23,22,22,22,330,56.7,2019
19647330000000.0,19.0,1964733.0,,D,,Los Angeles Unified,Los Angeles,41873.0,9336.0,19,18,19,19,2774,29.71,2019
19647740000000.0,19.0,1964774.0,,D,,Lynwood Unified,Los Angeles,1072.0,160.0,18,17,17,17,28,17.5,2019
19647900000000.0,19.0,1964790.0,,D,,Monrovia Unified,Los Angeles,473.0,53.0,21,19,19,19,16,30.19,2019
19648080000000.0,19.0,1964808.0,,D,,Montebello Unified,Los Angeles,2333.0,276.0,19,18,18,19,75,27.17,2019
19648400000000.0,19.0,1964840.0,,D,,Norwalk-La Mirada Unified,Los Angeles,1403.0,171.0,19,18,18,19,56,32.75,2019
19648570000000.0,19.0,1964857.0,,D,,Palmdale Elementary,Los Angeles,402.0,31.0,21,21,20,21,15,48.39,2019
19648650000000.0,19.0,1964865.0,,D,,Palos Verdes Peninsula Unified,Los Angeles,1118.0,426.0,27,28,27,26,376,88.26,2019
19648730000000.0,19.0,1964873.0,,D,,Paramount Unified,Los Angeles,1281.0,61.0,21,21,21,22,35,57.38,2019
19648810000000.0,19.0,1964881.0,,D,,Pasadena Unified,Los Angeles,1544.0,166.0,22,21,21,21,88,53.01,2019
19649070000000.0,19.0,1964907.0,,D,,Pomona Unified,Los Angeles,1897.0,266.0,19,18,18,19,82,30.83,2019
19649640000000.0,19.0,1964964.0,,D,,San Marino Unified,Los Angeles,275.0,95.0,28,29,29,27,86,90.53,2019
19649800000000.0,19.0,1964980.0,,D,,Santa Monica-Malibu Unified,Los Angeles,899.0,280.0,27,26,25,25,221,78.93,2019
19650290000000.0,19.0,1965029.0,,D,,South Pasadena Unified,Los Angeles,370.0,93.0,28,27,27,27,78,83.87,2019
19650520000000.0,19.0,1965052.0,,D,,Temple City Unified,Los Angeles,518.0,90.0,27,27,27,26,80,88.89,2019
19650600000000.0,19.0,1965060.0,,D,,Torrance Unified,Los Angeles,2115.0,440.0,25,24,25,24,334,75.91,2019
19650940000000.0,19.0,1965094.0,,D,,West Covina Unified,Los Angeles,1194.0,42.0,24,24,23,23,29,69.05,2019
19651280000000.0,19.0,1965128.0,,D,,Whittier Union High,Los Angeles,3048.0,390.0,20,20,20,20,167,42.82,2019
19651360000000.0,19.0,1965136.0,,D,,William S. Hart Union High,Los Angeles,4252.0,748.0,26,25,24,24,585,78.21,2019
19734370000000.0,19.0,1973437.0,,D,,Compton Unified,Los Angeles,1361.0,795.0,16,14,16,15,57,7.17,2019
19734450000000.0,19.0,1973445.0,,D,,Hacienda la Puente Unified,Los Angeles,1459.0,113.0,22,20,21,22,64,56.64,2019
19734520000000.0,19.0,1973452.0,,D,,Rowland Unified,Los Angeles,1186.0,119.0,22,21,21,21,58,48.74,2019
19734600000000.0,19.0,1973460.0,,D,,Walnut Valley Unified,Los Angeles,1424.0,316.0,28,28,28,27,276,87.34,2019
19752910000000.0,19.0,1975291.0,,D,,San Gabriel Unified,Los Angeles,619.0,72.0,27,28,26,26,63,87.5,2019
19753330000000.0,19.0,1975333.0,,D,,Manhattan Beach Unified,Los Angeles,610.0,269.0,28,28,27,27,245,91.08,2019
