local_id,county_id,county_dist_id,school_id,record_type,school_name,dist_name,county_name,enrollment_12,test_takers,avg_read,avg_eng,avg_math,avg_sci,abv_avg_num,abv_avg_pct,year,is_charter
43696664333795.0,43.0,4369666.0,4333795.0,S,Abraham Lincoln High,San Jose Unified,Santa Clara,463.0,53.0,23,22,22,23,34,64.15,2019,0
19647331935121.0,19.0,1964733.0,1935121.0,S,Abraham Lincoln Senior High,Los Angeles Unified,Los Angeles,226.0,19.0,21,20,23,22,11,57.89,2019,0
19769680109926.0,19.0,1976968.0,109926.0,S,Academia Avance Charter,SBE - Academia Avance Charter,Los Angeles,65.0,33.0,15,15,17,16,3,9.09,2019,1
19647330126615.0,19.0,1964733.0,126615.0,S,Academies of Education and Empowerment at Carson High,Los Angeles Unified,Los Angeles,126.0,16.0,18,18,18,17,5,31.25,2019,0
19651361996321.0,19.0,1965136.0,1996321.0,S,Academy of the Canyons,William S. Hart Union High,Los Angeles,104.0,36.0,29,29,25,25,34,94.44,2019,0
7616300730283.0,7.0,761630.0,730283.0,S,Acalanes High,Acalanes Union High,Contra Costa,353.0,99.0,29,29,28,27,93,93.94,2019,0
43694270125617.0,43.0,4369427.0,125617.0,S,ACE Charter High,East Side Union High,Santa Clara,41.0,34.0,14,14,15,15,1,2.94,2019,1
36679340125419.0,36.0,3667934.0,125419.0,S,Adelanto High,Victor Valley Union High,San Bernardino,430.0,28.0,19,17,18,18,8,28.57,2019,0
56725465631619.0,56.0,5672546.0,5631619.0,S,Adolfo Camarillo High,Oxnard Union High,Ventura,507.0,91.0,23,23,23,22,55,60.44,2019,0
43696744338802.0,43.0,4369674.0,4338802.0,S,Adrian Wilcox High,Santa Clara Unified,Santa Clara,458.0,138.0,25,24,24,24,93,67.39,2019,0
19646831930080.0,19.0,1964683.0,1930080.0,S,Agoura High,Las Virgenes Unified,Los Angeles,459.0,140.0,27,26,25,24,114,81.43,2019,0
19647330118588.0,19.0,1964733.0,118588.0,S,Alain Leroy Locke College Preparatory Academy,Los Angeles Unified,Los Angeles,382.0,112.0,14,14,16,15,7,6.25,2019,1
1611190130229.0,1.0,161119.0,130229.0,S,Alameda High,Alameda Unified,Alameda,463.0,93.0,28,27,27,26,85,91.4,2019,0
1611270130450.0,1.0,161127.0,130450.0,S,Albany High,Albany City Unified,Alameda,296.0,58.0,28,27,27,26,51,87.93,2019,0
19647331933852.0,19.0,1964733.0,1933852.0,S,Alexander Hamilton Senior High,Los Angeles Unified,Los Angeles,585.0,139.0,23,23,21,21,75,53.96,2019,0
19757131930163.0,19.0,1975713.0,1930163.0,S,Alhambra High,Alhambra Unified,Los Angeles,648.0,93.0,24,25,24,23,69,74.19,2019,0
7617390730549.0,7.0,761739.0,730549.0,S,Alhambra Senior High,Martinez Unified,Contra Costa,284.0,40.0,25,23,25,23,30,75.0,2019,0
27661592730109.0,27.0,2766159.0,2730109.0,S,Alisal High,Salinas Union High,Monterey,651.0,206.0,18,17,18,18,47,22.82,2019,0
30664643030574.0,30.0,3066464.0,3030574.0,S,Aliso Niguel High,Capistrano Unified,Orange,749.0,286.0,26,27,27,26,254,88.81,2019,0
19647330127217.0,19.0,1964733.0,127217.0,S,Alliance Alice M. Baxter College-Ready High,Los Angeles Unified,Los Angeles,61.0,77.0,17,16,17,18,12,15.58,2019,1
19647330121285.0,19.0,1964733.0,121285.0,S,Alliance Cindy and Bill Simon Technology Academy High,Los Angeles Unified,Los Angeles,123.0,155.0,15,14,16,16,13,8.39,2019,1
19647330108936.0,19.0,1964733.0,108936.0,S,Alliance Collins Family College-Ready High,Los Angeles Unified,Los Angeles,141.0,70.0,18,20,19,18,19,27.14,2019,1
19647330111500.0,19.0,1964733.0,111500.0,S,Alliance Dr. Olga Mohan High,Los Angeles Unified,Los Angeles,101.0,80.0,16,16,18,17,14,17.5,2019,1
19647330108894.0,19.0,1964733.0,108894.0,S,Alliance Judy Ivie Burton Technology Academy High,Los Angeles Unified,Los Angeles,138.0,162.0,16,16,17,17,24,14.81,2019,1
19647330117606.0,19.0,1964733.0,117606.0,S,Alliance Leichtman-Levine Family Foundation Environmental Science High,Los Angeles Unified,Los Angeles,128.0,155.0,18,18,18,18,40,25.81,2019,1
19647330111658.0,19.0,1964733.0,111658.0,S,Alliance Marc & Eva Stern Math and Science,Los Angeles Unified,Los Angeles,141.0,157.0,19,18,19,19,48,30.57,2019,1
19647330124941.0,19.0,1964733.0,124941.0,S,Alliance Margaret M. Bloomfield Technology Academy High,Los Angeles Unified,Los Angeles,114.0,139.0,17,16,16,16,19,13.67,2019,1
19647330116509.0,19.0,1964733.0,116509.0,S,Alliance Morgan McKinzie High,Los Angeles Unified,Los Angeles,73.0,86.0,15,13,16,16,7,8.14,2019,1
19647330111641.0,19.0,1964733.0,111641.0,S,Alliance Ouchi-O'Donovan 6-12 Complex,Los Angeles Unified,Los Angeles,130.0,148.0,15,14,16,16,16,10.81,2019,1
19647330111492.0,19.0,1964733.0,111492.0,S,Alliance Patti And Peter Neuwirth Leadership Academy,Los Angeles Unified,Los Angeles,131.0,164.0,16,14,17,16,18,10.98,2019,1
19647330117598.0,19.0,1964733.0,117598.0,S,Alliance Piera Barbaglia Shaheen Health Services Academy,Los Angeles Unified,Los Angeles,105.0,143.0,15,13,15,15,4,2.8,2019,1
19647330124891.0,19.0,1964733.0,124891.0,S,Alliance Renee and Meyer Luskin Academy High,Los Angeles Unified,Los Angeles,131.0,147.0,16,14,16,16,12,8.16,2019,1
19647330123141.0,19.0,1964733.0,123141.0,S,Alliance Ted K. Tajima High,Los Angeles Unified,Los Angeles,59.0,110.0,17,16,18,17,24,21.82,2019,1
19647330121293.0,19.0,1964733.0,121293.0,S,Alliance Tennenbaum Family Technology High,Los Angeles Unified,Los Angeles,89.0,89.0,15,14,16,16,10,11.24,2019,1
36676523630225.0,36.0,3667652.0,3630225.0,S,Alta Loma High,Chaffey Joint Union High,San Bernardino,634.0,56.0,23,22,22,22,34,60.71,2019,0
3739810330753.0,3.0,373981.0,330753.0,S,Amador High,Amador County Unified,Amador,154.0,17.0,25,25,25,24,16,94.12,2019,0
1751010130583.0,1.0,175101.0,130583.0,S,Amador Valley High,Pleasanton Unified,Alameda,654.0,280.0,29,29,28,28,258,92.14,2019,0
28662660121087.0,28.0,2866266.0,121087.0,S,American Canyon High,Napa Valley Unified,Napa,412.0,41.0,23,23,24,24,31,75.61,2019,0
1611760130062.0,1.0,161176.0,130062.0,S,American High,Fremont Unified,Alameda,538.0,136.0,29,30,30,29,126,92.65,2019,0
30664313030228.0,30.0,3066431.0,3030228.0,S,Anaheim High,Anaheim Union High,Orange,722.0,66.0,19,18,19,19,23,34.85,2019,0
49706074930400.0,49.0,4970607.0,4930400.0,S,Analy High,West Sonoma County Union High,Sonoma,262.0,33.0,27,27,25,24,27,81.82,2019,0
19645681996131.0,19.0,1964568.0,1996131.0,S,Anderson W. Clark Magnet High,Glendale Unified,Los Angeles,224.0,21.0,26,27,26,25,18,85.71,2019,0
43694274332995.0,43.0,4369427.0,4332995.0,S,Andrew P. Hill High,East Side Union High,Santa Clara,450.0,26.0,23,22,23,23,17,65.38,2019,0
48705404830170.0,48.0,4870540.0,4830170.0,S,Angelo Rodriguez High,Fairfield-Suisun Unified,Solano,423.0,52.0,25,24,23,24,37,71.15,2019,0
19647330124883.0,19.0,1964733.0,124883.0,S,Animo College Preparatory Academy,Los Angeles Unified,Los Angeles,128.0,35.0,16,17,17,18,6,17.14,2019,1
19646341996586.0,19.0,1964634.0,1996586.0,S,Animo Inglewood Charter High,Inglewood Unified,Los Angeles,145.0,99.0,18,17,18,18,22,22.22,2019,1
19647330111583.0,19.0,1964733.0,111583.0,S,Animo Jackie Robinson High,Los Angeles Unified,Los Angeles,148.0,58.0,17,15,18,17,10,17.24,2019,1
19647091996313.0,19.0,1964709.0,1996313.0,S,Animo Leadership High,Lennox,Los Angeles,153.0,127.0,16,15,17,17,13,10.24,2019,1
19647330106849.0,19.0,1964733.0,106849.0,S,Animo Pat Brown,Los Angeles Unified,Los Angeles,131.0,120.0,15,15,17,16,15,12.5,2019,1
19647330106831.0,19.0,1964733.0,106831.0,S,Animo Venice Charter High,Los Angeles Unified,Los Angeles,132.0,86.0,17,16,17,17,18,20.93,2019,1
19647330111625.0,19.0,1964733.0,111625.0,S,Animo Watts College Preparatory Academy,Los Angeles Unified,Los Angeles,128.0,21.0,19,18,18,17,8,38.1,2019,1
43695830102368.0,43.0,4369583.0,102368.0,S,Ann Sobrato High,Morgan Hill Unified,Santa Clara,292.0,83.0,25,24,25,24,69,83.13,2019,0
31669280116459.0,31.0,3166928.0,116459.0,S,Antelope High,Roseville Joint Union High,Placer,442.0,92.0,23,22,22,22,61,66.3,2019,0
19642461930213.0,19.0,1964246.0,1930213.0,S,Antelope Valley High,Antelope Valley Union High,Los Angeles,454.0,18.0,21,18,17,19,4,22.22,2019,0
7616480730861.0,7.0,761648.0,730861.0,S,Antioch High,Antioch Unified,Contra Costa,456.0,50.0,20,18,18,19,15,30.0,2019,0
19647330117077.0,19.0,1964733.0,117077.0,S,APEX Academy,Los Angeles Unified,Los Angeles,82.0,30.0,15,13,15,15,0,0.0,2019,1
36750773630423.0,36.0,3675077.0,3630423.0,S,Apple Valley High,Apple Valley Unified,San Bernardino,551.0,55.0,22,22,20,21,30,54.55,2019,0
19648080124552.0,19.0,1964808.0,124552.0,S,Applied Technology Center,Montebello Unified,Los Angeles,123.0,26.0,20,18,16,18,6,23.08,2019,0
44697994430518.0,44.0,4469799.0,4430518.0,S,Aptos High,Pajaro Valley Unified,Santa Cruz,335.0,65.0,26,25,24,24,53,81.54,2019,0
41690474130217.0,41.0,4169047.0,4130217.0,S,Aragon High,San Mateo Union High,San Mateo,385.0,93.0,28,28,28,26,83,89.25,2019,0
19642611930288.0,19.0,1964261.0,1930288.0,S,Arcadia High,Arcadia Unified,Los Angeles,829.0,192.0,28,29,28,27,175,91.15,2019,0
