county_name,is_charter,num_schools,enrollment,test_takers,pct_takers,avg_read,avg_eng,avg_math,avg_sci,comp_score,abv_avg_pct
Santa Cruz,1,1.0,90.0,48.0,0.53,29.0,29.0,27.0,27.0,28.0,0.96
Shasta,1,1.0,127.0,24.0,0.19,28.0,27.0,27.0,27.0,27.25,0.88
Santa Clara,0,36.0,16592.0,3816.0,0.23,27.39,27.34,27.15,26.67,27.14,0.83
Alameda,0,30.0,12798.0,2865.0,0.22,26.26,26.07,25.82,25.28,25.86,0.78
Marin,0,7.0,2319.0,740.0,0.32,26.63,26.3,25.06,24.87,25.72,0.8
San Mateo,0,16.0,5916.0,1206.0,0.2,25.99,25.48,25.58,24.92,25.49,0.78
Santa Barbara,1,1.0,145.0,49.0,0.34,25.0,26.0,25.0,25.0,25.25,0.82
Contra Costa,0,28.0,11362.0,2787.0,0.25,25.85,25.39,24.84,24.73,25.2,0.75
Orange,1,4.0,1214.0,288.0,0.24,26.4,26.11,23.32,24.23,25.02,0.75
El Dorado,0,5.0,1745.0,456.0,0.26,24.89,24.22,24.79,24.35,24.56,0.78
Mono,0,1.0,98.0,19.0,0.19,26.0,25.0,23.0,24.0,24.5,0.79
Shasta,0,3.0,859.0,98.0,0.11,26.0,23.94,23.47,23.94,24.34,0.82
Placer,0,13.0,4915.0,1224.0,0.25,24.92,24.16,24.15,24.01,24.31,0.77
Orange,0,65.0,34533.0,8156.0,0.24,24.53,24.38,24.3,23.85,24.26,0.72
Humboldt,0,3.0,659.0,81.0,0.12,25.75,23.75,23.77,23.48,24.19,0.75
Fresno,1,2.0,154.0,117.0,0.76,25.09,24.82,23.15,23.62,24.17,0.72
Nevada,0,2.0,481.0,56.0,0.12,25.43,23.82,24.21,23.21,24.17,0.75
Ventura,0,21.0,9289.0,1518.0,0.16,24.63,24.04,23.62,23.54,23.96,0.7
Sonoma,0,13.0,3870.0,711.0,0.18,24.84,23.83,23.34,23.36,23.84,0.72
Placer,1,1.0,119.0,32.0,0.27,26.0,24.0,21.0,24.0,23.75,0.72
San Diego,0,64.0,30406.0,6934.0,0.23,24.14,23.62,23.6,23.46,23.71,0.67
Calaveras,0,1.0,189.0,19.0,0.1,25.0,22.0,24.0,23.0,23.5,0.84
Trinity,0,1.0,91.0,15.0,0.16,24.0,24.0,23.0,23.0,23.5,0.73
Mendocino,0,2.0,472.0,46.0,0.1,25.0,23.52,22.48,22.52,23.38,0.7
San Luis Obispo,0,7.0,2200.0,547.0,0.25,24.22,23.35,22.97,22.99,23.38,0.69
Yolo,0,4.0,1738.0,337.0,0.19,23.4,22.67,23.07,23.05,23.05,0.63
Butte,0,5.0,1551.0,186.0,0.12,23.21,22.27,23.59,22.96,23.01,0.67
Amador,0,2.0,250.0,37.0,0.15,23.92,22.84,22.84,22.38,23.0,0.78
Mariposa,0,1.0,134.0,16.0,0.12,24.0,22.0,23.0,22.0,22.75,0.5
Solano,0,8.0,3039.0,384.0,0.13,23.41,22.48,22.35,22.46,22.68,0.63
Santa Barbara,0,9.0,3899.0,746.0,0.19,23.15,22.29,22.65,22.3,22.6,0.6
Napa,0,4.0,1361.0,187.0,0.14,22.67,22.19,22.12,22.27,22.31,0.66
Inyo,0,1.0,133.0,27.0,0.2,23.0,22.0,22.0,22.0,22.25,0.7
Sutter,0,4.0,1129.0,170.0,0.15,22.48,21.28,21.87,22.09,21.93,0.58
Tulare,1,1.0,109.0,38.0,0.35,22.0,21.0,22.0,22.0,21.75,0.55
San Francisco,0,13.0,3737.0,944.0,0.25,21.99,21.28,22.34,21.31,21.73,0.55
Stanislaus,0,11.0,4939.0,661.0,0.13,22.44,21.4,21.69,21.4,21.73,0.55
San Joaquin,0,21.0,8001.0,950.0,0.12,22.15,21.28,21.8,21.67,21.72,0.56
Santa Cruz,0,8.0,2131.0,502.0,0.24,22.32,21.05,21.38,21.41,21.54,0.52
Los Angeles,0,200.0,76660.0,14414.0,0.19,21.94,21.3,21.43,21.22,21.47,0.51
Sacramento,0,33.0,12959.0,2696.0,0.21,21.94,20.76,21.66,21.07,21.36,0.53
Lassen,0,1.0,188.0,27.0,0.14,22.0,21.0,21.0,21.0,21.25,0.56
San Diego,1,16.0,2826.0,962.0,0.34,21.71,20.73,21.28,21.12,21.21,0.52
Siskiyou,0,2.0,181.0,65.0,0.36,21.75,20.0,21.0,21.0,20.94,0.48
San Mateo,1,5.0,422.0,207.0,0.49,21.51,20.48,20.4,21.17,20.89,0.46
Madera,1,1.0,71.0,17.0,0.24,22.0,20.0,20.0,21.0,20.75,0.53
San Benito,0,1.0,744.0,118.0,0.16,21.0,20.0,21.0,21.0,20.75,0.44
Riverside,0,51.0,26544.0,4461.0,0.17,20.94,19.79,20.26,20.35,20.34,0.45
Kern,0,25.0,10742.0,1086.0,0.1,20.87,19.44,20.52,20.22,20.26,0.45
Riverside,1,5.0,453.0,243.0,0.54,20.61,18.93,20.58,20.06,20.04,0.44
Yuba,0,3.0,553.0,59.0,0.11,21.19,18.92,19.93,19.86,19.98,0.44
Fresno,0,25.0,10242.0,1606.0,0.16,20.39,19.19,19.89,20.08,19.89,0.39
Glenn,0,2.0,252.0,67.0,0.27,20.76,19.66,18.55,20.1,19.77,0.36
Monterey,0,13.0,4713.0,1008.0,0.21,20.26,19.34,19.55,19.7,19.71,0.37
Solano,1,1.0,121.0,15.0,0.12,20.0,20.0,18.0,20.0,19.5,0.33
Imperial,0,7.0,2558.0,490.0,0.19,19.8,18.82,19.69,19.61,19.48,0.37
Contra Costa,1,4.0,764.0,357.0,0.47,20.08,18.67,19.19,19.25,19.3,0.36
Santa Clara,1,8.0,701.0,353.0,0.5,19.1,18.8,19.04,19.23,19.04,0.32
San Joaquin,1,5.0,638.0,327.0,0.51,19.71,18.49,18.91,18.75,18.96,0.37
Tulare,0,15.0,5271.0,867.0,0.16,19.49,18.03,18.83,19.4,18.94,0.33
Merced,0,12.0,3624.0,592.0,0.16,19.56,17.97,18.41,19.06,18.75,0.3
Madera,0,5.0,1623.0,337.0,0.21,19.15,17.83,18.66,19.09,18.68,0.31
San Francisco,1,3.0,240.0,115.0,0.48,19.66,18.43,18.32,18.32,18.68,0.33
Tehama,0,3.0,563.0,302.0,0.54,18.87,18.12,18.87,18.5,18.59,0.35
Colusa,0,1.0,103.0,16.0,0.16,19.0,17.0,19.0,19.0,18.5,0.31
Alameda,1,9.0,909.0,664.0,0.73,18.44,17.46,18.69,18.28,18.22,0.28
Los Angeles,1,72.0,13345.0,5690.0,0.43,18.27,17.66,18.45,18.25,18.16,0.28
Kern,1,1.0,128.0,126.0,0.98,18.0,18.0,18.0,18.0,18.0,0.28
Stanislaus,1,1.0,18.0,23.0,1.28,18.0,18.0,18.0,18.0,18.0,0.35
San Bernardino,1,2.0,230.0,54.0,0.23,19.37,18.0,17.0,17.63,18.0,0.28
San Bernardino,0,49.0,24286.0,5270.0,0.22,18.34,16.85,18.43,18.24,17.96,0.28
Lake,0,2.0,198.0,36.0,0.18,18.5,17.5,18.0,17.5,17.88,0.31
Kings,0,5.0,1364.0,268.0,0.2,18.16,16.81,17.25,17.94,17.54,0.22
Sacramento,1,5.0,526.0,292.0,0.56,17.68,16.6,17.66,17.45,17.35,0.23
Sonoma,1,1.0,147.0,89.0,0.61,17.0,16.0,18.0,18.0,17.25,0.22
Modoc,0,2.0,80.0,55.0,0.69,17.27,15.0,17.0,18.0,16.82,0.2
