,school,optional,details,applicants,pct_accept,sat_low,sat_high,act_low,act_high
0,Stanford University,1,Stanford has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle. Stanford does not offer merit-based aid.,47452,0.043,1440,1570,32.0,35.0
1,Harvard College,1,Harvard has adopted a one-year test optional policy for first-year applicants in the 2020-21 admission cycle. Harvard does not offer merit-based aid.,42749,0.047,1460,1580,33.0,35.0
2,Princeton University,1,Princeton has adopted a one-year test optional policy for first-year and transfer applicants both domestic and international in the 2020-21 admission cycle.. Princeton does not offer merit-based aid.,35370,0.055,1440,1570,32.0,35.0
3,Columbia University,1,Columbia has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle. Columbia does not offer merit-based aid.,40203,0.055,1450,1560,33.0,35.0
4,Yale University,1,Yale has adopted a one-year test optional policy for the 2020-21 admission cycle. Yale does not offer merit-based aid.,36844,0.061,1460,1570,33.0,35.0
5,California Institute of Technology,1,CalTech has adopted a two-year Test Blind policy meaning it will not consider standardized test scores beginning with the 2020-21 admissions cycle. It will not consider the optional SAT Essay or ACT Writing Test or SAT Subject Test scores. CalTech does not offer merit-based aid.,8367,0.064,1530,1560,35.0,36.0
6,Massachusetts Institute of Technology,1,MIT has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle. MIT will not consider SAT Subject Test scores. MIT does not offer merit-based aid.,21706,0.067,1500,1570,34.0,36.0
7,Brown University,1,Brown has adopted a one-year test optional policy for the 2020-21 admission cycle. Brown does not offer merit-based aid.,38674,0.071,1440,1570,33.0,35.0
8,University of Chicago,1,UChicago offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. ,32283,0.073,1490,1570,33.0,35.0
9,Pomona College,1,Pomona College has adopted a one-year test optional policy for first-year and transfer applicants both domestic and international in the 2020-21 admission cycle. Pomona College does not offer merit-based aid.,10401,0.07400000000000001,1390,1540,32.0,35.0
10,University of Pennsylvania,1,UPenn has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle. UPenn does not offer merit-based aid.,44961,0.077,1450,1560,33.0,35.0
11,Dartmouth College,1,Dartmouth has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle. Dartmouth does not offer merit-based aid.,23650,0.079,1440,1560,32.0,35.0
12,Bowdoin College,1,Bowdoin College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. Bowdoin does not offer merit-based aid.,9332,0.08800000000000001,1330,1520,31.0,34.0
13,Duke University,1,Duke has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,35767,0.08900000000000001,1450,1570,33.0,35.0
14,Swarthmore College,1,Swarthmore has adopted a two-year test optional policy for all first-year and transfer applicants beginning with the 2020-21 admission cycle. After a two-year period Swarthmore will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission.,11442,0.08900000000000001,1380,1540,31.0,35.0
15,Northwestern University,1,Northwestern has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,40585,0.091,1440,1550,33.0,35.0
16,Vanderbilt University,1,Vanderbilthas adopted a one-year test optional policy for all first-year and transfer applicants both domestic and international for Fall 2021 matriculation.,37310,0.091,1460,1560,33.0,35.0
17,Claremont McKenna College,1,Claremont McKenna College has adopted a one-year test optional policy for all first-year applicants both domestic and international in the 2020-21 admission cycle.,6066,0.10300000000000001,1360,1510,31.0,34.0
18,Johns Hopkins University,1,Johns Hopkins has adopted a one-year test optional policy for the 2020-21 admission cycle.,29129,0.106,1470,1560,33.0,35.0
19,Cornell University,1,Cornell has adopted a one-year test optional policy for first-year applicants in the 2020-21 admission cycle. Cornell does not offer merit-based aid.,49114,0.109,1400,1560,32.0,35.0
20,Rice University,1,Rice has adopted a one-year test optional policy for all first-year and transfer students applying in the 2020-21 admission cycle.,20923,0.111,1450,1560,33.0,35.0
21,Amherst College,1,Amherst College has adopted a one-year test optional policy for all first-year applicants both domestic and international in the 2020-21 admission cycle. Amherst College does not offer merit-based aid.,10569,0.113,1410,1550,31.0,34.0
22,Barnard College,1,Barnard College has adopted a one-year test optional policy for all first-year applicants both domestic and international in the 2020-21 admission cycle. Barnard College does not offer merit-based aid.,9320,0.11800000000000001,1340,1520,31.0,34.0
23,Bates College,1,Bates offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. Bates does not offer merit-based aid.,8222,0.121,1270,1480,29.0,33.0
24,University of California—​Los Angeles,1,The UC system has adopted a two-year test optional policy for first-year applicants both domestic and international beginning in the 2020-21 admission cycle. After those two years the UCs will be Test Blind (meaning they will not consider test scores) for two more years. At the end of the four year period they will consider whether to reinstate the testing requirement.,111322,0.12300000000000001,1290,1510,27.0,34.0
25,Tulane University,1,Tulane has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,42185,0.129,1360,1520,31.0,33.0
26,University of Southern California,1,USC has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,64352,0.13,1350,1530,30.0,34.0
27,Williams College,1,Williams College has adopted a one-year test optional policy for first-time international and transfer applicants in the 2020-21 admission cycle. Williams college does not offer merit-based aid.,9560,0.13,1410,1550,32.0,35.0
28,Colby College,1,Colby College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. Colby does not offer merit-based aid.,12313,0.13,1350,1510,31.0,33.0
29,Pitzer College,1,Pitzer offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However applicants to the joint medical program homeschooled students and students who attend secondary schools at which grades are not provided are not eligible for test optional admission.,4358,0.133,1340,1490,30.0,33.0
30,Colorado College,1,Colorado College offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students and international students are not eligible for test optional admission.,9456,0.135,1300,1480,29.0,33.0
31,Harvey Mudd College,1,Harvey Mudd has adopted a one-year test optional policy for all first-year and transfer students applying in the 2020-21 admission cycle.,4045,0.13699999999999998,1490,1570,33.0,35.0
32,Georgetown University,1,Georgetown has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle. Georgetown does not offer merit-based aid.,22872,0.145,1370,1530,31.0,34.0
33,University of California—​Berkeley,1,Cal has adopted a four-year test blind policy beginning in the 2020-21 admission cycle. At the end of the four year period they will consider whether to reinstate the testing requirement.,89621,0.14800000000000002,1300,1530,28.0,34.0
34,Tufts University,1,Tufts has adopted a three-year test optional policy for first-time international and homeschooled students beginning with the 2020-21 admission cycle. After a three-year pilot period Tufts will reevaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission. Tufts does not offer merit-based aid.,22766,0.15,1390,1540,32.0,34.0
35,Washington University in St. Louis,1,Washington University in St. Louis has adopted a one-year test optional policy for the 2020-21 admission cycle.,31320,0.15,1470,1570,32.0,35.0
36,Middlebury College,1,Middlebury has adopted a three-year test optional policy for first-year and transfer students beginning with the 2020-21 admission cycle. After a three-year pilot period Middlebury will re-evaluate whether to continue the test optional policy indefinitely or return to its previous test flexible policy. Middlebury does not offer merit-based aid.,9754,0.154,1360,1530,32.0,34.0
37,Carnegie Mellon University,1,Carnegie Mellon has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle. Carnegie Mellon does not offer merit-based aid.,27634,0.154,1460,1560,33.0,35.0
38,University of Notre Dame,1,Notre Dame has adopted a one-year test optional policy for all first year and transfer students applying in the 2020-21 admission cycle.,22200,0.158,1400,1550,32.0,35.0
39,The Cooper Union,1,Cooper Union has adopted a two-year test optional policy for first-year and transfer applicants beginning with the 2020-21 admission cycle. After a two-year period Cooper Union will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission.,2447,0.16,1283,1510,31.0,34.0
40,New York University,1,NYU has adopted a one-year test optional policy for students applying in the 2020-21 admission cycle.,79462,0.162,1370,1510,30.0,34.0
41,Haverford College,1,Haverford has adopted a three-year test optional policy for all first-year and transfer applicants beginning with the 2020-21 admission cycle. After a three-year period Haverford will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission. Haverford does not offer merit-based aid.,4963,0.163,1380,1540,32.0,34.0
42,Wesleyan University,1,Wesleyan University offers a test optional policy which allows students to be considered for admission without SAT or ACT scores. However homeschooled students are not eligible for test optional admission. International students will not be required to submit SAT or ACT scores for the 2020-21 admission cycle.,13264,0.165,1320,1510,31.0,34.0
43,Hamilton College,1,Hamilton College has adopted a one-year test optional policy for all first-year and transfer applicants in the 2020-21 admission cycle. Hamilton does not offer merit-based aid.,8279,0.165,1370,1520,32.0,34.0
44,Northeastern University,1,Northeastern University has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,62263,0.18100000000000002,1390,1540,32.0,35.0
45,Davidson College,1,Davidson has adopted a three-year test optional policy for first-time students beginning with the 2020-21 admission cycle. However homeschooled students and students who attend non-traditional schools are not eligible for test optional admission. After a three-year pilot period Davidson will re-evaluate whether to continue the test optional policy indefinitely or reinstate a testing requirement for admission.,5982,0.18100000000000002,1310,1485,30.0,33.0
46,Emory University,1,Emory has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,27559,0.185,1350,1520,31.0,34.0
47,Carleton College,1,Carleton College has adopted a one-year test optional policy for all first-year applicants both domestic and international in the 2020-21 admission cycle. Carleton College does not offer merit-based aid.,7382,0.19,1360,1540,31.0,34.0
48,Georgia Institute of Technology,1,The University System of Georgia has adopted a one-year test optional policy for first year applicants both domestic and international applying in the 2020-21 admission cycle.,36856,0.20600000000000002,1300,1510,29.0,34.0
49,Washington and Lee University,1,Washington and Lee has adopted a one-year test optional policy for first-year applicants both domestic and international in the 2020-21 admission cycle.,5855,0.212,1348,1490,31.0,34.0
50,Wellesley College,1,Wellesley College has adopted a one-year test optional policy for all first-year applicants both domestic and international in the 2020-21 admission cycle. Wellesley College does not offer merit-based aid.,6395,0.21600000000000003,1360,1530,31.0,34.0
51,Boston University,1,Boston University has adopted a one-year test optional policy for all first year applicants both domestic and international in the 2020-21 admission cycle.,64481,0.221,1330,1500,30.0,33.0
52,Colgate University,1,Colgate University has adopted a one-year test optional policy for all first-year applicants both domestic and international in the 2020-21 admission cycle. Colgate does not offer merit-based aid.,9951,0.226,1330,1500,31.0,34.0
53,University of North Carolina—​Chapel Hill,1,The UNC System has adopted a one-year test optional policy for applicants in the 2020-21 admission cycle.,42466,0.226,1300,1490,27.0,33.0
54,University of Michigan—​Ann Arbor,1,The University of Michigan has adopted a one-year test optional policy for students applying the 2020-21 admission cycle.,64972,0.22899999999999998,1340,1530,31.0,34.0
