act_score,eng_pct,math_pct,read_pct,sci_pct,score_pct,floor_pct,ceiling_pct,weight
36,100,100,100,100,100,99.6,100.0,0.004106354583718302
35,99,99,98,99,99,99.1,99.5,0.004106354583718302
34,96,99,96,98,99,98.1,99.0,0.009239297813366179
33,94,98,94,97,98,96.1,98.0,0.019505184272661933
32,92,97,91,96,96,95.1,96.0,0.009239297813366179
31,91,96,89,95,95,93.1,95.0,0.019505184272661933
30,89,94,86,93,93,90.1,93.0,0.029771070731957686
29,88,93,84,92,90,88.1,90.0,0.019505184272661933
28,86,91,82,90,88,85.1,88.0,0.029771070731957686
27,84,88,80,88,85,82.1,85.0,0.029771070731957686
26,82,84,77,85,82,78.1,82.0,0.04003695719125344
25,79,79,74,82,78,74.1,78.0,0.04003695719125344
24,75,74,71,77,74,70.1,74.0,0.04003695719125344
23,71,70,66,71,70,64.1,70.0,0.060568730109844954
22,65,65,61,64,64,59.1,64.0,0.0503028436505492
21,60,61,55,58,59,53.1,59.0,0.060568730109844954
20,55,58,50,51,53,47.1,53.0,0.060568730109844954
19,49,54,44,45,47,41.0,47.0,0.06159531875577453
18,45,49,39,39,41,35.1,41.0,0.060568730109844954
17,41,42,34,32,35,28.1,35.0,0.07083461656914071
16,37,33,29,26,28,22.1,28.0,0.060568730109844954
15,32,21,24,19,22,16.1,22.0,0.060568730109844954
14,25,11,19,14,16,10.1,16.0,0.060568730109844954
13,19,4,14,10,10,5.1,10.0,0.0503028436505492
12,15,1,10,7,5,2.1,5.0,0.029771070731957686
11,11,1,5,4,2,1.1,2.0,0.009239297813366179
10,7,1,3,3,1,0.91,1.0,0.0009239297813366179
9,3,1,1,1,1,0.81,0.9,0.0009239297813366179
8,2,1,1,1,1,0.71,0.8,0.0009239297813366179
7,1,1,1,1,1,0.61,0.7,0.0009239297813366179
6,1,1,1,1,1,0.51,0.6,0.0009239297813366179
5,1,1,1,1,1,0.41,0.5,0.0009239297813366179
4,1,1,1,1,1,0.31,0.4,0.0009239297813366179
3,1,1,1,1,1,0.21,0.3,0.0009239297813366179
2,1,1,1,1,1,0.11,0.2,0.0009239297813366179
1,1,1,1,1,1,0.0,0.1,0.0010265886459295756
