CDS,CCode,CDCode,SCode,RType,SName,DName,CName,Enroll12,NumTSTTakr12,NumERWBenchmark12,PctERWBenchmark12,NumMathBenchmark12,PctMathBenchmark12,TotNumBothBenchmark12,PctBothBenchmark12,Year
1611760000000.0,1.0,161176.0,0.0,D,,Fremont Unified,Alameda,2537.0,845.0,767,90.77,695,82.25,678,80.24,2019
1612750000000.0,1.0,161275.0,0.0,D,,Piedmont City Unified,Alameda,231.0,78.0,68,87.18,62,79.49,61,78.21,2019
1612910000000.0,1.0,161291.0,0.0,D,,San Leandro Unified,Alameda,754.0,193.0,138,71.5,83,43.01,77,39.9,2019
10621660000000.0,10.0,1062166.0,0.0,D,,Fresno Unified,Fresno,4593.0,1048.0,611,58.3,344,32.82,323,30.82,2019
10751270000000.0,10.0,1075127.0,0.0,D,,Mendota Unified,Fresno,234.0,69.0,23,33.33,11,15.94,9,13.04,2019
13631070000000.0,13.0,1363107.0,0.0,D,,Calipatria Unified,Imperial,91.0,27.0,14,51.85,6,22.22,5,18.52,2019
15638590000000.0,15.0,1563859.0,0.0,D,,Wasco Union High,Kern,453.0,184.0,80,43.48,48,26.09,40,21.74,2019
19645840000000.0,19.0,1964584.0,0.0,D,,Gorman Joint,Los Angeles,113.0,25.0,22,88.0,12,48.0,12,48.0,2019
19647740000000.0,19.0,1964774.0,0.0,D,,Lynwood Unified,Los Angeles,1072.0,285.0,154,54.04,58,20.35,53,18.6,2019
19651280000000.0,19.0,1965128.0,0.0,D,,Whittier Union High,Los Angeles,3048.0,1227.0,848,69.11,565,46.05,521,42.46,2019
19734520000000.0,19.0,1973452.0,0.0,D,,Rowland Unified,Los Angeles,1186.0,386.0,271,70.21,189,48.96,174,45.08,2019
21654820000000.0,21.0,2165482.0,0.0,D,,Tamalpais Union High,Marin,1233.0,435.0,415,95.4,363,83.45,361,82.99,2019
23655810000000.0,23.0,2365581.0,0.0,D,,Mendocino Unified,Mendocino,52.0,17.0,17,100.0,12,70.59,12,70.59,2019
36103630000000.0,36.0,3610363.0,0.0,D,,San Bernardino County Office of Education,San Bernardino,673.0,77.0,56,72.73,24,31.17,22,28.57,2019
36676520000000.0,36.0,3667652.0,0.0,D,,Chaffey Joint Union High,San Bernardino,6046.0,2437.0,1695,69.55,1099,45.1,1033,42.39,2019
36750770000000.0,36.0,3675077.0,0.0,D,,Apple Valley Unified,San Bernardino,1086.0,316.0,256,81.01,124,39.24,118,37.34,2019
37680310000000.0,37.0,3768031.0,0.0,D,,Coronado Unified,San Diego,294.0,152.0,144,94.74,115,75.66,113,74.34,2019
37681300000000.0,37.0,3768130.0,0.0,D,,Grossmont Union High,San Diego,5541.0,1514.0,1195,78.93,940,62.09,886,58.52,2019
39754990000000.0,39.0,3975499.0,0.0,D,,Tracy Joint Unified,San Joaquin,1515.0,483.0,387,80.12,262,54.24,247,51.14,2019
43104390000000.0,43.0,4310439.0,0.0,D,,Santa Clara County Office of Education,Santa Clara,915.0,124.0,99,79.84,71,57.26,68,54.84,2019
43733870000000.0,43.0,4373387.0,0.0,D,,Milpitas Unified,Santa Clara,829.0,335.0,297,88.66,259,77.31,249,74.33,2019
44698230000000.0,44.0,4469823.0,0.0,D,,Santa Cruz City High,Santa Cruz,862.0,287.0,236,82.23,193,67.25,183,63.76,2019
50755720000000.0,50.0,5075572.0,0.0,D,,Waterford Unified,Stanislaus,359.0,66.0,43,65.15,20,30.3,18,27.27,2019
52716390000000.0,52.0,5271639.0,0.0,D,,Red Bluff Joint Union High,Tehama,372.0,46.0,35,76.09,30,65.22,29,63.04,2019
1612000000000.0,1.0,161200.0,0.0,D,,Livermore Valley Joint Unified,Alameda,1128.0,315.0,279,88.57,246,78.1,231,73.33,2019
9618530000000.0,9.0,961853.0,0.0,D,,El Dorado Union High,El Dorado,1609.0,526.0,483,91.83,417,79.28,404,76.81,2019
10752750000000.0,10.0,1075275.0,0.0,D,,Sierra Unified,Fresno,103.0,28.0,26,92.86,15,53.57,15,53.57,2019
12755150000000.0,12.0,1275515.0,0.0,D,,Eureka City Schools,Humboldt,347.0,58.0,48,82.76,33,56.9,32,55.17,2019
13631490000000.0,13.0,1363149.0,0.0,D,,Holtville Unified,Imperial,151.0,52.0,41,78.85,19,36.54,18,34.62,2019
15101570000000.0,15.0,1510157.0,0.0,D,,Kern County Office of Education,Kern,582.0,113.0,48,42.48,27,23.89,24,21.24,2019
17640300000000.0,17.0,1764030.0,0.0,D,,Lakeport Unified,Lake,88.0,27.0,24,88.89,18,66.67,18,66.67,2019
19646830000000.0,19.0,1964683.0,0.0,D,,Las Virgenes Unified,Los Angeles,986.0,337.0,309,91.69,254,75.37,248,73.59,2019
19649640000000.0,19.0,1964964.0,0.0,D,,San Marino Unified,Los Angeles,275.0,120.0,114,95.0,112,93.33,110,91.67,2019
19734450000000.0,19.0,1973445.0,0.0,D,,Hacienda la Puente Unified,Los Angeles,1459.0,1110.0,541,48.74,362,32.61,323,29.1,2019
20756060000000.0,20.0,2075606.0,0.0,D,,Chawanakee Unified,Madera,154.0,47.0,30,63.83,12,25.53,12,25.53,2019
23656150000000.0,23.0,2365615.0,0.0,D,,Ukiah Unified,Mendocino,525.0,91.0,76,83.52,60,65.93,57,62.64,2019
23656230000000.0,23.0,2365623.0,0.0,D,,Willits Unified,Mendocino,102.0,19.0,14,73.68,7,36.84,6,31.58,2019
24753660000000.0,24.0,2475366.0,0.0,D,,Delhi Unified,Merced,167.0,82.0,50,60.98,14,17.07,14,17.07,2019
27660920000000.0,27.0,2766092.0,0.0,D,,Monterey Peninsula Unified,Monterey,854.0,536.0,311,58.02,199,37.13,181,33.77,2019
33751920000000.0,33.0,3375192.0,0.0,D,,Temecula Valley Unified,Riverside,2453.0,1014.0,863,85.11,595,58.68,573,56.51,2019
33752000000000.0,33.0,3375200.0,0.0,D,,Murrieta Valley Unified,Riverside,2168.0,834.0,676,81.06,461,55.28,438,52.52,2019
