local_id,county_id,county_dist_id,school_id,record_type,school_name,dist_name,county_name,enrollment_12,test_takers,avg_eng,pct_eng,avg_math,pct_math,abv_avg_both,abv_pct_both,year,is_charter
19647331930924.0,19.0,1964733.0,1930924.0,S,Belmont Senior High,Los Angeles Unified,Los Angeles,206.0,102.0,31,30.39,14,13.73,14,13.73,2019,0
19647331931476.0,19.0,1964733.0,1931476.0,S,Canoga Park Senior High,Los Angeles Unified,Los Angeles,227.0,113.0,54,47.79,18,15.93,18,15.93,2019,0
19647336061451.0,19.0,1964733.0,6061451.0,S,Foshay Learning Center,Los Angeles Unified,Los Angeles,166.0,106.0,68,64.15,36,33.96,36,33.96,2019,0
30736353034956.0,30.0,3073635.0,3034956.0,S,Mission Viejo High,Saddleback Valley Unified,Orange,562.0,190.0,161,84.74,138,72.63,132,69.47,2019,0
33672153336955.0,33.0,3367215.0,3336955.0,S,Abraham Lincoln Continuation,Riverside Unified,Riverside,114.0,17.0,3,17.65,2,11.76,2,11.76,2019,0
13631071332501.0,13.0,1363107.0,1332501.0,S,Calipatria High,Calipatria Unified,Imperial,91.0,27.0,14,51.85,6,22.22,5,18.52,2019,0
19647330119685.0,19.0,1964733.0,119685.0,S,New Open World Academy K-12,Los Angeles Unified,Los Angeles,85.0,68.0,17,25.0,6,8.82,6,8.82,2019,0
33670333331600.0,33.0,3367033.0,3331600.0,S,Corona High,Corona-Norco Unified,Riverside,581.0,204.0,148,72.55,88,43.14,82,40.2,2019,0
19646341996586.0,19.0,1964634.0,1996586.0,S,Animo Inglewood Charter High,Inglewood Unified,Los Angeles,145.0,68.0,45,66.18,30,44.12,29,42.65,2019,1
33671813335759.0,33.0,3367181.0,3335759.0,S,Palo Verde High,Palo Verde Unified,Riverside,174.0,38.0,27,71.05,13,34.21,12,31.58,2019,0
36750773630423.0,36.0,3675077.0,3630423.0,S,Apple Valley High,Apple Valley Unified,San Bernardino,551.0,186.0,150,80.65,70,37.63,67,36.02,2019,0
37683386061964.0,37.0,3768338.0,6061964.0,S,The O'Farrell Charter,San Diego Unified,San Diego,125.0,64.0,44,68.75,33,51.56,28,43.75,2019,1
10621171030683.0,10.0,1062117.0,1030683.0,S,Clovis East High,Clovis Unified,Fresno,584.0,237.0,161,67.93,103,43.46,94,39.66,2019,0
39686760108159.0,39.0,3968676.0,108159.0,S,Cesar Chavez High,Stockton Unified,San Joaquin,521.0,192.0,96,50.0,50,26.04,39,20.31,2019,0
19647331938885.0,19.0,1964733.0,1938885.0,S,University High School Charter,Los Angeles Unified,Los Angeles,336.0,193.0,121,62.69,82,42.49,76,39.38,2019,1
19647331996115.0,19.0,1964733.0,1996115.0,S,City of Angels,Los Angeles Unified,Los Angeles,292.0,23.0,14,60.87,7,30.43,7,30.43,2019,0
19756636120158.0,19.0,1975663.0,6120158.0,S,New West Charter,SBE - New West Charter,Los Angeles,90.0,47.0,43,91.49,33,70.21,32,68.09,2019,1
19757131934553.0,19.0,1975713.0,1934553.0,S,Mark Keppel High,Alhambra Unified,Los Angeles,579.0,269.0,241,89.59,230,85.5,215,79.93,2019,0
29663572935500.0,29.0,2966357.0,2935500.0,S,Nevada Union High,Nevada Joint Union High,Nevada,353.0,89.0,78,87.64,64,71.91,62,69.66,2019,0
30736503035102.0,30.0,3073650.0,3035102.0,S,University High,Irvine Unified,Orange,633.0,205.0,189,92.2,185,90.24,179,87.32,2019,1
41689244137790.0,41.0,4168924.0,4137790.0,S,Westmoor High,Jefferson Union High,San Mateo,395.0,344.0,213,61.92,169,49.13,153,44.48,2019,0
7617960735316.0,7.0,761796.0,735316.0,S,Pinole Valley High,West Contra Costa Unified,Contra Costa,266.0,249.0,117,46.99,60,24.1,58,23.29,2019,0
19642460100081.0,19.0,1964246.0,100081.0,S,William J. (Pete) Knight High,Antelope Valley Union High,Los Angeles,668.0,166.0,112,67.47,50,30.12,46,27.71,2019,0
19642461930213.0,19.0,1964246.0,1930213.0,S,Antelope Valley High,Antelope Valley Union High,Los Angeles,454.0,83.0,37,44.58,9,10.84,8,9.64,2019,0
19648731936749.0,19.0,1964873.0,1936749.0,S,Paramount High,Paramount Unified,Los Angeles,1135.0,932.0,352,37.77,185,19.85,158,16.95,2019,0
41690474134557.0,41.0,4169047.0,4134557.0,S,Mills High,San Mateo Union High,San Mateo,299.0,147.0,137,93.2,132,89.8,126,85.71,2019,0
41690704137279.0,41.0,4169070.0,4137279.0,S,South San Francisco High,South San Francisco Unified,San Mateo,292.0,86.0,71,82.56,53,61.63,51,59.3,2019,0
1612000133397.0,1.0,161200.0,133397.0,S,Granada High,Livermore Valley Joint Unified,Alameda,567.0,178.0,157,88.2,143,80.34,132,74.16,2019,0
19101990115212.0,19.0,1910199.0,115212.0,S,Magnolia Science Academy 2,Los Angeles County Office of Education,Los Angeles,41.0,17.0,10,58.82,6,35.29,6,35.29,2019,1
38684783833407.0,38.0,3868478.0,3833407.0,S,Lowell High,San Francisco Unified,San Francisco,678.0,423.0,415,98.11,386,91.25,385,91.02,2019,0
21654822133692.0,21.0,2165482.0,2133692.0,S,Tamalpais High,Tamalpais Union High,Marin,376.0,149.0,138,92.62,121,81.21,119,79.87,2019,0
33103300110833.0,33.0,3310330.0,110833.0,S,River Springs Charter,Riverside County Office of Education,Riverside,213.0,33.0,30,90.91,22,66.67,22,66.67,2019,1
37683380107052.0,37.0,3768338.0,107052.0,S,San Diego Business/Leadership,San Diego Unified,San Diego,100.0,18.0,8,44.44,2,11.11,1,5.56,2019,0
37683380107078.0,37.0,3768338.0,107078.0,S,Kearny Digital Media & Design,San Diego Unified,San Diego,86.0,25.0,20,80.0,11,44.0,11,44.0,2019,0
39103973930476.0,39.0,3910397.0,3930476.0,S,Venture Academy,San Joaquin County Office of Education,San Joaquin,266.0,77.0,47,61.04,18,23.38,18,23.38,2019,1
7617210107797.0,7.0,761721.0,107797.0,S,Heritage High,Liberty Union High,Contra Costa,574.0,244.0,212,86.89,158,64.75,156,63.93,2019,0
10752341037456.0,10.0,1075234.0,1037456.0,S,Tranquillity High,Golden Plains Unified,Fresno,120.0,27.0,10,37.04,0,0.0,0,0.0,2019,0
10752751036938.0,10.0,1075275.0,1036938.0,S,Sierra High,Sierra Unified,Fresno,91.0,28.0,26,92.86,15,53.57,15,53.57,2019,0
33751760107920.0,33.0,3375176.0,107920.0,S,Lakeside High,Lake Elsinore Unified,Riverside,387.0,112.0,68,60.71,41,36.61,36,32.14,2019,0
36676783630522.0,36.0,3667678.0,3630522.0,S,Ruben S. Ayala High,Chino Valley Unified,San Bernardino,695.0,556.0,458,82.37,362,65.11,352,63.31,2019,0
36676783631769.0,36.0,3667678.0,3631769.0,S,Buena Vista Continuation High,Chino Valley Unified,San Bernardino,118.0,79.0,6,7.59,0,0.0,0,0.0,2019,0
36676783632502.0,36.0,3667678.0,3632502.0,S,Chino High,Chino Valley Unified,San Bernardino,432.0,354.0,174,49.15,84,23.73,77,21.75,2019,0
19643941931823.0,19.0,1964394.0,1931823.0,S,Claremont High,Claremont Unified,Los Angeles,591.0,263.0,234,88.97,181,68.82,175,66.54,2019,0
19647330122341.0,19.0,1964733.0,122341.0,S,Esteban Torres East LA Performing Arts Magnet,Los Angeles Unified,Los Angeles,85.0,31.0,11,35.48,1,3.23,1,3.23,2019,0
24657552434207.0,24.0,2465755.0,2434207.0,S,Los Banos High,Los Banos Unified,Merced,303.0,95.0,62,65.26,36,37.89,34,35.79,2019,0
36678760120568.0,36.0,3667876.0,120568.0,S,Options for Youth-San Bernardino,San Bernardino City Unified,San Bernardino,52.0,17.0,11,64.71,5,29.41,5,29.41,2019,1
36678763631082.0,36.0,3667876.0,3631082.0,S,Arroyo Valley High,San Bernardino City Unified,San Bernardino,565.0,202.0,103,50.99,51,25.25,46,22.77,2019,0
36678763631090.0,36.0,3667876.0,3631090.0,S,Middle College High,San Bernardino City Unified,San Bernardino,67.0,50.0,38,76.0,26,52.0,23,46.0,2019,0
39685853930237.0,39.0,3968585.0,3930237.0,S,Bear Creek High,Lodi Unified,San Joaquin,450.0,173.0,125,72.25,109,63.01,100,57.8,2019,0
19647330124370.0,19.0,1964733.0,124370.0,S,Cesar E. Chavez Learning Academies-Arts/Theatre/Entertain Mag,Los Angeles Unified,Los Angeles,87.0,29.0,17,58.62,6,20.69,5,17.24,2019,0
19650601938752.0,19.0,1965060.0,1938752.0,S,Torrance High,Torrance Unified,Los Angeles,509.0,218.0,182,83.49,132,60.55,127,58.26,2019,0
24657890127373.0,24.0,2465789.0,127373.0,S,El Capitan High,Merced Union High,Merced,373.0,142.0,91,64.08,46,32.39,44,30.99,2019,0
24657892435204.0,24.0,2465789.0,2435204.0,S,Merced High,Merced Union High,Merced,400.0,110.0,78,70.91,47,42.73,43,39.09,2019,0
34674473432317.0,34.0,3467447.0,3432317.0,S,El Camino Fundamental High,San Juan Unified,Sacramento,321.0,119.0,102,85.71,75,63.03,74,62.18,2019,0
37683383735750.0,37.0,3768338.0,3735750.0,S,Point Loma High,San Diego Unified,San Diego,456.0,191.0,168,87.96,134,70.16,132,69.11,2019,0
19647330106864.0,19.0,1964733.0,106864.0,S,Alliance Gertz-Ressler Richard Merkin 6-12 Complex,Los Angeles Unified,Los Angeles,123.0,123.0,58,47.15,30,24.39,26,21.14,2019,1
19647330107755.0,19.0,1964733.0,107755.0,S,Port of Los Angeles High,Los Angeles Unified,Los Angeles,202.0,80.0,62,77.5,53,66.25,48,60.0,2019,1
20652012032357.0,20.0,2065201.0,2032357.0,S,Chowchilla Union High,Chowchilla Union High,Madera,262.0,86.0,48,55.81,20,23.26,18,20.93,2019,0
31668943131851.0,31.0,3166894.0,3131851.0,S,Colfax High,Placer Union High,Placer,125.0,51.0,41,80.39,30,58.82,28,54.9,2019,0
19645681934082.0,19.0,1964568.0,1934082.0,S,Herbert Hoover High,Glendale Unified,Los Angeles,351.0,100.0,85,85.0,72,72.0,69,69.0,2019,0
19734371931963.0,19.0,1973437.0,1931963.0,S,Compton High,Compton Unified,Los Angeles,354.0,65.0,25,38.46,9,13.85,9,13.85,2019,0
30666703035821.0,30.0,3066670.0,3035821.0,S,Saddleback High,Santa Ana Unified,Orange,383.0,321.0,106,33.02,80,24.92,64,19.94,2019,0
36750443630407.0,36.0,3675044.0,3630407.0,S,Hesperia High,Hesperia Unified,San Bernardino,445.0,108.0,58,53.7,21,19.44,16,14.81,2019,0
37683463731007.0,37.0,3768346.0,3731007.0,S,La Costa Canyon High,San Dieguito Union High,San Diego,523.0,183.0,173,94.54,145,79.23,145,79.23,2019,0
47764554733309.0,47.0,4776455.0,4733309.0,S,Etna Union High,Scott Valley Unified,Siskiyou,43.0,16.0,9,56.25,7,43.75,6,37.5,2019,0
1611190130609.0,1.0,161119.0,130609.0,S,Alameda Community Learning Center,Alameda Unified,Alameda,31.0,21.0,20,95.24,11,52.38,10,47.62,2019,1
15635291530344.0,15.0,1563529.0,1530344.0,S,Stockdale High,Kern High,Kern,550.0,242.0,201,83.06,151,62.4,143,59.09,2019,0
19651281934868.0,19.0,1965128.0,1934868.0,S,La Serna High,Whittier Union High,Los Angeles,609.0,296.0,249,84.12,187,63.18,179,60.47,2019,0
19651360117234.0,19.0,1965136.0,117234.0,S,Santa Clarita Valley International,William S. Hart Union High,Los Angeles,75.0,15.0,9,60.0,3,20.0,3,20.0,2019,1
36679343630787.0,36.0,3667934.0,3630787.0,S,Silverado High,Victor Valley Union High,San Bernardino,546.0,114.0,63,55.26,22,19.3,22,19.3,2019,0
39686763937406.0,39.0,3968676.0,3937406.0,S,Stagg Senior High,Stockton Unified,San Joaquin,368.0,73.0,38,52.05,17,23.29,15,20.55,2019,0
43694270123745.0,43.0,4369427.0,123745.0,S,Summit Public School: Rainier,East Side Union High,Santa Clara,105.0,49.0,43,87.76,23,46.94,22,44.9,2019,1
39767600128967.0,39.0,3976760.0,128967.0,S,Mountain House High,Lammersville Joint Unified,San Joaquin,283.0,132.0,114,86.36,82,62.12,80,60.61,2019,0
