Score,English,Math,Reading,Science,Composite,low,high,weight
36,100,100,100,100,100,99.6,100,0.4
35,99,99,98,99,99,99.1,99.5,0.4
34,96,99,96,98,99,98.1,99,0.9
33,94,98,94,97,98,96.1,98,1.9
32,92,97,91,96,96,95.1,96,0.9
31,91,96,89,95,95,93.1,95,1.9
30,89,94,86,93,93,90.1,93,2.9
29,88,93,84,92,90,88.1,90,1.9
28,86,91,82,90,88,85.1,88,2.9
27,84,88,80,88,85,82.1,85,2.9
26,82,84,77,85,82,78.1,82,3.9
25,79,79,74,82,78,74.1,78,3.9
24,75,74,71,77,74,70.1,74,3.9
23,71,70,66,71,70,64.1,70,5.9
22,65,65,61,64,64,59.1,64,4.9
21,60,61,55,58,59,53.1,59,5.9
20,55,58,50,51,53,47.1,53,5.9
19,49,54,44,45,47,41,47,6
18,45,49,39,39,41,35.1,41,5.9
17,41,42,34,32,35,28.1,35,6.9
16,37,33,29,26,28,22.1,28,5.9
15,32,21,24,19,22,16.1,22,5.9
14,25,11,19,14,16,10.1,16,5.9
13,19,4,14,10,10,5.1,10,4.9
12,15,1,10,7,5,2.1,5,2.9
11,11,1,5,4,2,1.1,2,0.9
10,7,1,3,3,1,0.91,1,0.09
9,3,1,1,1,1,0.81,0.9,0.09
8,2,1,1,1,1,0.71,0.8,0.09
7,1,1,1,1,1,0.61,0.7,0.09
6,1,1,1,1,1,0.51,0.6,0.09
5,1,1,1,1,1,0.41,0.5,0.09
4,1,1,1,1,1,0.31,0.4,0.09
3,1,1,1,1,1,0.21,0.3,0.09
2,1,1,1,1,1,0.11,0.2,0.09
1,1,1,1,1,1,0,0.1,0.1
