Summary Level,State Code (FIPS),County Code (FIPS),County Subdivision Code (FIPS),Place Code (FIPS),Consolidtated City Code (FIPS),Area Name (including legal/statistical area description)
040,06,000,00000,00000,06000,California
050,06,001,00000,00000,06001,Alameda County
050,06,003,00000,00000,06003,Alpine County
050,06,005,00000,00000,06005,Amador County
050,06,007,00000,00000,06007,Butte County
050,06,009,00000,00000,06009,Calaveras County
050,06,011,00000,00000,06011,Colusa County
050,06,013,00000,00000,06013,Contra Costa County
050,06,015,00000,00000,06015,Del Norte County
050,06,017,00000,00000,06017,El Dorado County
050,06,019,00000,00000,06019,Fresno County
050,06,021,00000,00000,06021,Glenn County
050,06,023,00000,00000,06023,Humboldt County
050,06,025,00000,00000,06025,Imperial County
050,06,027,00000,00000,06027,Inyo County
050,06,029,00000,00000,06029,Kern County
050,06,031,00000,00000,06031,Kings County
050,06,033,00000,00000,06033,Lake County
050,06,035,00000,00000,06035,Lassen County
050,06,037,00000,00000,06037,Los Angeles County
050,06,039,00000,00000,06039,Madera County
050,06,041,00000,00000,06041,Marin County
050,06,043,00000,00000,06043,Mariposa County
050,06,045,00000,00000,06045,Mendocino County
050,06,047,00000,00000,06047,Merced County
050,06,049,00000,00000,06049,Modoc County
050,06,051,00000,00000,06051,Mono County
050,06,053,00000,00000,06053,Monterey County
050,06,055,00000,00000,06055,Napa County
050,06,057,00000,00000,06057,Nevada County
050,06,059,00000,00000,06059,Orange County
050,06,061,00000,00000,06061,Placer County
050,06,063,00000,00000,06063,Plumas County
050,06,065,00000,00000,06065,Riverside County
050,06,067,00000,00000,06067,Sacramento County
050,06,069,00000,00000,06069,San Benito County
050,06,071,00000,00000,06071,San Bernardino County
050,06,073,00000,00000,06073,San Diego County
050,06,075,00000,00000,06075,San Francisco County
050,06,077,00000,00000,06077,San Joaquin County
050,06,079,00000,00000,06079,San Luis Obispo County
050,06,081,00000,00000,06081,San Mateo County
050,06,083,00000,00000,06083,Santa Barbara County
050,06,085,00000,00000,06085,Santa Clara County
050,06,087,00000,00000,06087,Santa Cruz County
050,06,089,00000,00000,06089,Shasta County
050,06,091,00000,00000,06091,Sierra County
050,06,093,00000,00000,06093,Siskiyou County
050,06,095,00000,00000,06095,Solano County
050,06,097,00000,00000,06097,Sonoma County
050,06,099,00000,00000,06099,Stanislaus County
050,06,101,00000,00000,06101,Sutter County
050,06,103,00000,00000,06103,Tehama County
050,06,105,00000,00000,06105,Trinity County
050,06,107,00000,00000,06107,Tulare County
050,06,109,00000,00000,06109,Tuolumne County
050,06,111,00000,00000,06111,Ventura County
050,06,113,00000,00000,06113,Yolo County
050,06,115,00000,00000,06115,Yuba County
