Record Type,CDS Code,County,District,School,High Grade
School,01611196154637,Alameda,Alameda Unified,Advance College Academy,12
School,01611196933154,Alameda,Alameda Unified,Saint Joseph Notre Dame High School,12
School,01611196979140,Alameda,Alameda Unified,The Phillips Academy,12
School,01611276138044,Alameda,Albany City Unified,Tilden Preparatory School,12
School,01611430117002,Alameda,Berkeley Unified,Bayhill High,12
School,01611436138291,Alameda,Berkeley Unified,Fusion Academy Berkeley,12
School,01611436933162,Alameda,Berkeley Unified,Saint Mary's College High School,12
School,01611437045552,Alameda,Berkeley Unified,Via Center,12
School,01611506133441,Alameda,Castro Valley Unified,"Anchor Education, Inc. dba OneSchool Global - San Francisco",12
School,01750936136550,Alameda,Dublin Unified,Knowledge Schools,12
School,01750937103989,Alameda,Dublin Unified,The Quarry Lane School,12
School,01750936933170,Alameda,Dublin Unified,Valley Christian Middle / Senior High School,12
School,01611767103799,Alameda,Fremont Unified,Alsion Montessori Middle/High,12
School,01611766142459,Alameda,Fremont Unified,Averroes High School,12
School,01611766909840,Alameda,Fremont Unified,Fremont Christian School,12
School,01611766161467,Alameda,Fremont Unified,Reeder Academy,12
School,01611766158778,Alameda,Fremont Unified,Rivendell Academy of Fremont,12
School,01611766151823,Alameda,Fremont Unified,Valor Academy,12
School,01611926143754,Alameda,Hayward Unified,California Crosspoint Academy,12
School,01611926933006,Alameda,Hayward Unified,Moreau Catholic High School,12
School,01611926204713,Alameda,Hayward Unified,Spectrum Schools Mission Valley Campus,12
School,01611926142699,Alameda,Hayward Unified,Stellar Preparatory High School,12
School,01611926160311,Alameda,Hayward Unified,Thomas Martial Arts & Fitness Academy,12
School,01611927096282,Alameda,Hayward Unified,Victory Academy,12
School,01612006159180,Alameda,Livermore Valley Joint Unified,Acton Academy East Bay,12
School,01612006153472,Alameda,Livermore Valley Joint Unified,King's Classical Academy,12
School,01612006136097,Alameda,Livermore Valley Joint Unified,Livermore Valley Academy,12
School,01612006158802,Alameda,Livermore Valley Joint Unified,Sierra School at Livermore HIgh School,12
School,01612007081383,Alameda,Livermore Valley Joint Unified,Sonrise Christian Academy,12
School,01612006159214,Alameda,Livermore Valley Joint Unified,Verity Academy East Bay,12
School,01612427077548,Alameda,New Haven Unified,Seneca Family of Agencies - Pathfinder Academy,12
School,01612427088743,Alameda,New Haven Unified,Union City Christian School,12
School,01612596910343,Alameda,Oakland Unified,Agnes Memorial Christian Academey,12
School,01612596161111,Alameda,Oakland Unified,All Aspects Academy,12
School,01612596134100,Alameda,Oakland Unified,Baywood Learning Centers,12
School,01612596932784,Alameda,Oakland Unified,Bishop O'Dowd High School,12
School,01612596159248,Alameda,Oakland Unified,DeeColonize Academy,12
School,01612596149835,Alameda,Oakland Unified,Deecolonize Academy,12
School,01612596909832,Alameda,Oakland Unified,Fred Finch–Oakland Hills Academy,12
School,01612596154777,Alameda,Oakland Unified,Gramajo-Veliz School,12
