school name,charter number,site type,more details,statistical info,county
Academy of Alameda Middle School,1181,Site-based Instruction,Academy of Alameda Middle School,DataQuest Reports,Alameda
Achieve Academy,780,Site-based Instruction,Achieve Academy,DataQuest Reports,Alameda
AIMS College Prep Middle School,106,Site-based Instruction,AIMS College Prep Middle School,DataQuest Reports,Alameda
AIMS High School,765,Site-based Instruction,AIMS High School,DataQuest Reports,Alameda
Alameda Community Learning Center,352,Site-based Instruction,Alameda Community Learning Center,DataQuest Reports,Alameda
Alternatives in Action,398,Site-based Instruction,Alternatives in Action,DataQuest Reports,Alameda
American Indian Public Charter II,882,Site-based Instruction,American Indian Public Charter II,DataQuest Reports,Alameda
ARISE High,837,Site-based Instruction,ARISE High,DataQuest Reports,Alameda
ASCEND,1443,Site-based Instruction,ASCEND,DataQuest Reports,Alameda
Aspire Berkley Maynard Academy,726,Site-based Instruction,Aspire Berkley Maynard Academy,DataQuest Reports,Alameda
Aspire College Academy,1577,Site-based Instruction,Aspire College Academy,DataQuest Reports,Alameda
Aspire Golden State College Preparatory Academy,1023,Site-based Instruction,Aspire Golden State College Preparatory Academy,DataQuest Reports,Alameda
Aspire Lionel Wilson College Preparatory Academy,465,Site-based Instruction,Aspire Lionel Wilson College Preparatory Academy,DataQuest Reports,Alameda
Aspire Monarch Academy,252,Site-based Instruction,Aspire Monarch Academy,DataQuest Reports,Alameda
Aspire Triumph Technology Academy,1663,Site-based Instruction,Aspire Triumph Technology Academy,DataQuest Reports,Alameda
Aurum Preparatory Academy,1908,Site-based Instruction,Aurum Preparatory Academy,DataQuest Reports,Alameda
Bay Area Technology,661,Site-based Instruction,Bay Area Technology,DataQuest Reports,Alameda
Circle of Independent Learning,152,Independent Study,Circle of Independent Learning,DataQuest Reports,Alameda
Community School for Creative Education,1284,Site-based Instruction,Community School for Creative Education,DataQuest Reports,Alameda
Connecting Waters Charter - East Bay,1881,Independent Study,Connecting Waters Charter - East Bay,DataQuest Reports,Alameda
Cox Academy,740,Site-based Instruction,Cox Academy,DataQuest Reports,Alameda
Downtown Charter Academy,1661,Site-based Instruction,Downtown Charter Academy,DataQuest Reports,Alameda
East Bay Innovation Academy,1620,Site-based Instruction,East Bay Innovation Academy,DataQuest Reports,Alameda
Envision Academy for Arts & Technology,811,Site-based Instruction,Envision Academy for Arts & Technology,DataQuest Reports,Alameda
Epic Charter,1632,Site-based Instruction,Epic Charter,DataQuest Reports,Alameda
Francophone Charter School of Oakland,1708,Site-based Instruction,Francophone Charter School of Oakland,DataQuest Reports,Alameda
Hayward Collegiate Charter,2027,Site-based Instruction,Hayward Collegiate Charter,DataQuest Reports,Alameda
Impact Academy of Arts & Technology,836,Site-based Instruction,Impact Academy of Arts & Technology,DataQuest Reports,Alameda
KIPP Bridge Academy,938,Combination of Site-based and IS,KIPP Bridge Academy,DataQuest Reports,Alameda
KIPP King Collegiate High,880,Combination of Site-based and IS,KIPP King Collegiate High,DataQuest Reports,Alameda
KIPP Summit Academy,524,Combination of Site-based and IS,KIPP Summit Academy,DataQuest Reports,Alameda
Knowledge Enlightens You (KEY) Academy,1514,Site-based Instruction,Knowledge Enlightens You (KEY) Academy,DataQuest Reports,Alameda
Latitude 37.8 High,2015,Site-based Instruction,Latitude 37.8 High,DataQuest Reports,Alameda
Lazear Charter Academy,1464,Site-based Instruction,Lazear Charter Academy,DataQuest Reports,Alameda
Leadership Public Schools - Hayward,684,Site-based Instruction,Leadership Public Schools - Hayward,DataQuest Reports,Alameda
Learning Without Limits,1442,Site-based Instruction,Learning Without Limits,DataQuest Reports,Alameda
Lighthouse Community Charter,413,Site-based Instruction,Lighthouse Community Charter,DataQuest Reports,Alameda
Lighthouse Community Charter High,700,Site-based Instruction,Lighthouse Community Charter High,DataQuest Reports,Alameda
Lodestar: A Lighthouse Communty Charter Public,1783,Site-based Instruction,Lodestar: A Lighthouse Communty Charter Public,DataQuest Reports,Alameda
LPS Oakland R & D Campus,1449,Site-based Instruction,LPS Oakland R & D Campus,DataQuest Reports,Alameda
Nea Community Learning Center,1066,Site-based Instruction,Nea Community Learning Center,DataQuest Reports,Alameda
North Oakland Community Charter,302,Site-based Instruction,North Oakland Community Charter,DataQuest Reports,Alameda
Oakland Charter Academy,14,Site-based Instruction,Oakland Charter Academy,DataQuest Reports,Alameda
Oakland Charter High,883,Site-based Instruction,Oakland Charter High,DataQuest Reports,Alameda
"Oakland Military Institute, College Preparatory Academy",349,Site-based Instruction,"Oakland Military Institute, College Preparatory Academy",DataQuest Reports,Alameda
Oakland School for the Arts,340,Site-based Instruction,Oakland School for the Arts,DataQuest Reports,Alameda
Oakland Unity High,510,Site-based Instruction,Oakland Unity High,DataQuest Reports,Alameda
Oakland Unity Middle,1707,Site-based Instruction,Oakland Unity Middle,DataQuest Reports,Alameda
Opportunity Academy,1888,Independent Study,Opportunity Academy,DataQuest Reports,Alameda
Silver Oak High Public Montessori Charter,1543,Site-based Instruction,Silver Oak High Public Montessori Charter,DataQuest Reports,Alameda
The Academy of Alameda Elementary,1718,Site-based Instruction,The Academy of Alameda Elementary,DataQuest Reports,Alameda
Urban Montessori Charter,1383,Site-based Instruction,Urban Montessori Charter,DataQuest Reports,Alameda
Yu Ming Charter,1296,Site-based Instruction,Yu Ming Charter,DataQuest Reports,Alameda
Achieve Charter High,1916,Site-based Instruction,Achieve Charter High,DataQuest Reports,Butte
Achieve Charter School of Chico,2120,Site-based Instruction,Achieve Charter School of Chico,DataQuest Reports,Butte
Achieve Charter School of Paradise Inc.,751,Site-based Instruction,Achieve Charter School of Paradise Inc.,DataQuest Reports,Butte
Blue Oak Charter,415,Site-based Instruction,Blue Oak Charter,DataQuest Reports,Butte
Chico Country Day,112,Site-based Instruction,Chico Country Day,DataQuest Reports,Butte
Children's Community Charter,94,Site-based Instruction,Children's Community Charter,DataQuest Reports,Butte
Come Back Butte Charter,1811,Independent Study,Come Back Butte Charter,DataQuest Reports,Butte
CORE Butte Charter,945,Independent Study,CORE Butte Charter,DataQuest Reports,Butte
Forest Ranch Charter,1019,Site-based Instruction,Forest Ranch Charter,DataQuest Reports,Butte
Hearthstone School,110,Independent Study,Hearthstone School,DataQuest Reports,Butte
HomeTech Charter,67,Independent Study,HomeTech Charter,DataQuest Reports,Butte
